SEP=,
이름,형식,리소스 그룹,위치,구독,태그,리소스 ID,
"agw-kr03-krs-r-drsrv02-ngdmz01","애플리케이션 게이트웨이","rg-kr03-krs-r-drsrv02-network02","Korea South","KR03","{""Environment"":""DR"",""CostCenter"":""KR013108"",""CreatedOnDate"":""2022-05-17T05:17:12.4779929Z"",""BusinessUnit"":""KR"",""DataClassification"":""Restricted"",""MaintenanceWindow"":""2nd Tuesday of Monthly"",""BusinessOwner"":""Kim, JaeHo(4366)"",""ApplicationService"":""AIA Korea Graphene-DR"",""BusinessApplication"":""AIA Korea Graphene"",""BillingRoute"":""KR.DDIP.01"",""ServerOwner"":""DataCenter Manager"",""ServerRole"":"""",""AppMSPName"":""ZATG"",""InfraAdmin"":""Seo, SungHyun(5745)"",""AppAdmin"":""Lee, JungSoo(4870)"",""MSPAdmin"":""Nam, MinWoo(Cloocus)"",""PONumber"":""""}","/subscriptions/a41ad58c-77c6-4ae9-b911-8469ac8a2c3c/resourceGroups/rg-kr03-krs-r-drsrv02-network02/providers/Microsoft.Network/applicationGateways/agw-kr03-krs-r-drsrv02-ngdmz01"
"agw-kr03-krs-r-drsrv02-ngops01","애플리케이션 게이트웨이","rg-kr03-krs-r-drsrv02-network02","Korea South","KR03","{""Environment"":""DR"",""CostCenter"":""KR013108"",""CreatedOnDate"":""2022-05-17T06:11:58.9465528Z"",""BusinessUnit"":""KR"",""DataClassification"":""Restricted"",""MaintenanceWindow"":""2nd Tuesday of Monthly"",""BusinessOwner"":""Kim, JaeHo(4366)"",""ApplicationService"":""AIA Korea Graphene-DR"",""BusinessApplication"":""AIA Korea Graphene"",""BillingRoute"":""KR.DDIP.01"",""ServerOwner"":""DataCenter Manager"",""ServerRole"":"""",""AppMSPName"":""ZATG"",""InfraAdmin"":""Seo, SungHyun(5745)"",""AppAdmin"":""Lee, JungSoo(4870)"",""MSPAdmin"":""Nam, MinWoo(Cloocus)"",""PONumber"":""""}","/subscriptions/a41ad58c-77c6-4ae9-b911-8469ac8a2c3c/resourceGroups/rg-kr03-krs-r-drsrv02-network02/providers/Microsoft.Network/applicationGateways/agw-kr03-krs-r-drsrv02-ngops01"
"aks-agentpool-29973145-nsg","네트워크 보안 그룹","mc_rg-kr03-krc-p-prodsrv02-aks01_aks-kr03-krc-p-app01_koreacentral","Korea Central","KR03","{""Environment"":""PROD"",""CostCenter"":""KR013108"",""CreatedOnDate"":""2022-04-13T01:54:45.7112221Z"",""BusinessUnit"":""KR"",""DataClassification"":""Restricted"",""MaintenanceWindow"":""2nd Tuesday of Monthly"",""BusinessOwner"":""Kim, JaeHo(4366)"",""ApplicationService"":""AIA Korea Graphene-PROD"",""BusinessApplication"":""AIA Korea Graphene"",""BillingRoute"":""KR.DDIP.01"",""ServerOwner"":""DataCenter Manager"",""ServerRole"":"""",""AppMSPName"":""ZATG"",""InfraAdmin"":""Seo, SungHyun(5745)"",""AppAdmin"":""Lee, JungSoo(4870)"",""MSPAdmin"":""Nam, MinWoo(Cloocus)"",""PONumber"":""""}","/subscriptions/a41ad58c-77c6-4ae9-b911-8469ac8a2c3c/resourceGroups/MC_rg-kr03-krc-p-prodsrv02-aks01_aks-kr03-krc-p-app01_koreacentral/providers/Microsoft.Network/networkSecurityGroups/aks-agentpool-29973145-nsg"
"aks-agentpool-47010285-nsg","네트워크 보안 그룹","mc_rg-kr03-krc-n-nonprodsrv02-aks01_aks-kr03-krc-u-app01_koreacentral","Korea Central","KR03","{""Environment"":""UAT"",""CostCenter"":""KR013108"",""BusinessUnit"":""KR"",""DataClassification"":""Restricted"",""MaintenanceWindow"":""2nd Tuesday of Monthly"",""BusinessOwner"":""Kim, JaeHo(4366)"",""ApplicationService"":""AIA Korea Graphene-UAT"",""BusinessApplication"":""AIA Korea Graphene"",""BillingRoute"":""KR.DDIP.01"",""ServerOwner"":""DataCenter Manager"",""ServerRole"":"""",""ApplicationType"":"""",""AppMSPName"":""ZATG"",""InfraAdmin"":""Seo, SungHyun(5745)"",""AppAdmin"":""Lee, JungSoo(4870)"",""MSPAdmin"":""Nam, MinWoo(Cloocus)"",""PONumber"":""""}","/subscriptions/a41ad58c-77c6-4ae9-b911-8469ac8a2c3c/resourceGroups/MC_rg-kr03-krc-n-nonprodsrv02-aks01_aks-kr03-krc-u-app01_koreacentral/providers/Microsoft.Network/networkSecurityGroups/aks-agentpool-47010285-nsg"
"aks-agentpool-69513117-nsg","네트워크 보안 그룹","mc_rg-kr03-krs-r-drsrv02-aks01_aks-kr03-krs-r-app01_koreasouth","Korea South","KR03","{""Environment"":""DR"",""CostCenter"":""KR013108"",""CreatedOnDate"":""2022-05-25T06:52:24.8833809Z"",""BusinessUnit"":""KR"",""DataClassification"":""Restricted"",""MaintenanceWindow"":""2nd Tuesday of Monthly"",""ApplicationService"":""AIA Korea Graphene-DR"",""BusinessApplication"":""AIA Korea Graphene"",""BillingRoute"":""KR.DDIP.01"",""ServerOwner"":""DataCenter Manager"",""ServerRole"":"""",""AppMSPName"":""ZATG"",""InfraAdmin"":""Seo, SungHyun(5745)"",""AppAdmin"":""Lee, JungSoo(4870)"",""MSPAdmin"":""Nam, MinWoo(Cloocus)"",""PONumber"":""""}","/subscriptions/a41ad58c-77c6-4ae9-b911-8469ac8a2c3c/resourceGroups/MC_rg-kr03-krs-r-drsrv02-aks01_aks-kr03-krs-r-app01_koreasouth/providers/Microsoft.Network/networkSecurityGroups/aks-agentpool-69513117-nsg"
"aks-default-17724744-vmss","가상 머신 확장 집합","mc_rg-kr03-krc-p-prodsrv02-aks01_aks-kr03-krc-p-app01_koreacentral","Korea Central","KR03","{""Environment"":""PROD"",""CostCenter"":""KR013108"",""CreatedOnDate"":""2022-04-13T01:54:45.7112221Z"",""BusinessUnit"":""KR"",""DataClassification"":""Restricted"",""MaintenanceWindow"":""2nd Tuesday of Monthly"",""aks-managed-resourceNameSuffix"":""29973145"",""BusinessOwner"":""Kim, JaeHo(4366)"",""ApplicationService"":""AIA Korea Graphene-PROD"",""BusinessApplication"":""AIA Korea Graphene"",""aks-managed-createOperationID"":""a5668161-76d9-4809-bc5a-1aaaec61cda6"",""aks-managed-creationSource"":""vmssclient-aks-default-17724744-vmss"",""aks-managed-orchestrator"":""Kubernetes:1.21.9"",""aks-managed-poolName"":""default"",""BillingRoute"":""KR.DDIP.01"",""ServerOwner"":""DataCenter Manager"",""ServerRole"":"""",""AppMSPName"":""ZATG"",""InfraAdmin"":""Seo, SungHyun(5745)"",""AppAdmin"":""Lee, JungSoo(4870)"",""MSPAdmin"":""Nam, MinWoo(Cloocus)"",""PONumber"":"""",""aksAPIServerIPAddress"":""10.234.28.4""}","/subscriptions/a41ad58c-77c6-4ae9-b911-8469ac8a2c3c/resourceGroups/MC_rg-kr03-krc-p-prodsrv02-aks01_aks-kr03-krc-p-app01_koreacentral/providers/Microsoft.Compute/virtualMachineScaleSets/aks-default-17724744-vmss"
"aks-default-27442736-vmss","가상 머신 확장 집합","mc_rg-kr03-krc-n-nonprodsrv02-aks01_aks-kr03-krc-u-app01_koreacentral","Korea Central","KR03","{""Environment"":""UAT"",""CostCenter"":""KR013108"",""CreatedOnDate"":""2022-03-31T04:20:25.1070489Z"",""BusinessUnit"":""KR"",""DataClassification"":""Restricted"",""MaintenanceWindow"":""2nd Tuesday of Monthly"",""aks-managed-resourceNameSuffix"":""47010285"",""BusinessOwner"":""Kim, JaeHo(4366)"",""ApplicationService"":""AIA Korea Graphene-UAT"",""BusinessApplication"":""AIA Korea Graphene"",""aks-managed-createOperationID"":"""",""aks-managed-creationSource"":""vmssclient-aks-default-27442736-vmss"",""aks-managed-orchestrator"":""Kubernetes:1.21.9"",""aks-managed-poolName"":""default"",""BillingRoute"":""KR.DDIP.01"",""ServerOwner"":""DataCenter Manager"",""ServerRole"":"""",""ApplicationType"":"""",""AppMSPName"":""ZATG"",""InfraAdmin"":""Seo, SungHyun(5745)"",""AppAdmin"":""Lee, JungSoo(4870)"",""MSPAdmin"":""Nam, MinWoo(Cloocus)"",""PONumber"":"""",""aks-managed-operationID"":""783273eb-65e6-4f7d-9068-02b7dd965231"",""aksAPIServerIPAddress"":""10.234.140.4""}","/subscriptions/a41ad58c-77c6-4ae9-b911-8469ac8a2c3c/resourceGroups/mc_rg-kr03-krc-n-nonprodsrv02-aks01_aks-kr03-krc-u-app01_koreacentral/providers/Microsoft.Compute/virtualMachineScaleSets/aks-default-27442736-vmss"
"aks-default-40363736-vmss","가상 머신 확장 집합","mc_rg-kr03-krs-r-drsrv02-aks01_aks-kr03-krs-r-app01_koreasouth","Korea South","KR03","{""Environment"":""DR"",""CostCenter"":""KR013108"",""CreatedOnDate"":""2022-05-25T06:52:24.8833809Z"",""BusinessUnit"":""KR"",""DataClassification"":""Restricted"",""MaintenanceWindow"":""2nd Tuesday of Monthly"",""aks-managed-resourceNameSuffix"":""69513117"",""ApplicationService"":""AIA Korea Graphene-DR"",""BusinessApplication"":""AIA Korea Graphene"",""aks-managed-createOperationID"":""581b9787-5ba3-4f8c-bfca-05ba7204431b"",""aks-managed-creationSource"":""vmssclient-aks-default-40363736-vmss"",""aks-managed-orchestrator"":""Kubernetes:1.21.9"",""aks-managed-poolName"":""default"",""BillingRoute"":""KR.DDIP.01"",""ServerOwner"":""DataCenter Manager"",""ServerRole"":"""",""AppMSPName"":""ZATG"",""InfraAdmin"":""Seo, SungHyun(5745)"",""AppAdmin"":""Lee, JungSoo(4870)"",""MSPAdmin"":""Nam, MinWoo(Cloocus)"",""PONumber"":"""",""aksAPIServerIPAddress"":""10.240.48.4""}","/subscriptions/a41ad58c-77c6-4ae9-b911-8469ac8a2c3c/resourceGroups/MC_rg-kr03-krs-r-drsrv02-aks01_aks-kr03-krs-r-app01_koreasouth/providers/Microsoft.Compute/virtualMachineScaleSets/aks-default-40363736-vmss"
"aks-drk8sn01-40363736-vmss","가상 머신 확장 집합","mc_rg-kr03-krs-r-drsrv02-aks01_aks-kr03-krs-r-app01_koreasouth","Korea South","KR03","{""Environment"":""DR"",""CostCenter"":""KR013108"",""CreatedOnDate"":""2022-05-25T06:52:24.8833809Z"",""BusinessUnit"":""KR"",""DataClassification"":""Restricted"",""MaintenanceWindow"":""2nd Tuesday of Monthly"",""aks-managed-resourceNameSuffix"":""69513117"",""ApplicationService"":""AIA Korea Graphene-DR"",""BusinessApplication"":""AIA Korea Graphene"",""aks-managed-createOperationID"":""581b9787-5ba3-4f8c-bfca-05ba7204431b"",""aks-managed-creationSource"":""vmssclient-aks-drk8sn01-40363736-vmss"",""aks-managed-orchestrator"":""Kubernetes:1.21.9"",""aks-managed-poolName"":""drk8sn01"",""BillingRoute"":""KR.DDIP.01"",""ServerOwner"":""DataCenter Manager"",""ServerRole"":"""",""AppMSPName"":""ZATG"",""InfraAdmin"":""Seo, SungHyun(5745)"",""AppAdmin"":""Lee, JungSoo(4870)"",""MSPAdmin"":""Nam, MinWoo(Cloocus)"",""PONumber"":"""",""aksAPIServerIPAddress"":""10.240.48.4""}","/subscriptions/a41ad58c-77c6-4ae9-b911-8469ac8a2c3c/resourceGroups/MC_rg-kr03-krs-r-drsrv02-aks01_aks-kr03-krs-r-app01_koreasouth/providers/Microsoft.Compute/virtualMachineScaleSets/aks-drk8sn01-40363736-vmss"
"aks-drk8sn02-40363736-vmss","가상 머신 확장 집합","mc_rg-kr03-krs-r-drsrv02-aks01_aks-kr03-krs-r-app01_koreasouth","Korea South","KR03","{""Environment"":""DR"",""CostCenter"":""KR013108"",""CreatedOnDate"":""2022-05-25T06:52:24.8833809Z"",""BusinessUnit"":""KR"",""DataClassification"":""Restricted"",""MaintenanceWindow"":""2nd Tuesday of Monthly"",""aks-managed-resourceNameSuffix"":""69513117"",""ApplicationService"":""AIA Korea Graphene-DR"",""BusinessApplication"":""AIA Korea Graphene"",""aks-managed-createOperationID"":""581b9787-5ba3-4f8c-bfca-05ba7204431b"",""aks-managed-creationSource"":""vmssclient-aks-drk8sn02-40363736-vmss"",""aks-managed-orchestrator"":""Kubernetes:1.21.9"",""aks-managed-poolName"":""drk8sn02"",""BillingRoute"":""KR.DDIP.01"",""ServerOwner"":""DataCenter Manager"",""ServerRole"":"""",""AppMSPName"":""ZATG"",""InfraAdmin"":""Seo, SungHyun(5745)"",""AppAdmin"":""Lee, JungSoo(4870)"",""MSPAdmin"":""Nam, MinWoo(Cloocus)"",""PONumber"":"""",""aksAPIServerIPAddress"":""10.240.48.4""}","/subscriptions/a41ad58c-77c6-4ae9-b911-8469ac8a2c3c/resourceGroups/MC_rg-kr03-krs-r-drsrv02-aks01_aks-kr03-krs-r-app01_koreasouth/providers/Microsoft.Compute/virtualMachineScaleSets/aks-drk8sn02-40363736-vmss"
